"cod_municipio","volume_agua_produzido","agua_consumida","populacao_total","Estado.x","agua_consumida_por_habitante"
240185,420.58,154.2,6587,"RN",0.234097464703203
240190,236.37,175.12,3608,"RN",0.485365853658537
240200,19416,3267.64,67259,"RN",0.485829405730088
240210,214.07,177.39,11066,"RN",0.160301825411169
240230,1291.66,641.07,20564,"RN",0.311743824158724
240240,NA,0,8045,"RN",0
240250,519.33,119.48,10760,"RN",0.111040892193309
240270,358.11,265.36,11318,"RN",0.234458384873653
240280,759,0,5587,"RN",0
240290,498,86.48,4963,"RN",0.174249445899657
240300,2468,17.81,8164,"RN",0.0218152866242038
240310,1161.34,923.09,44887,"RN",0.205647514870675
240320,102.5,91.81,7184,"RN",0.127797884187082
240330,1310,26.46,5593,"RN",0.0473091364205257
240340,192.64,148.38,6087,"RN",0.243765401675702
240370,626.91,119.46,6013,"RN",0.198669549309829
240375,213.36,161.2,3037,"RN",0.530786960816595
240380,304.25,246.36,9254,"RN",0.266220012967365
240390,132.95,64.15,2909,"RN",0.220522516328635
240400,772,183.46,4228,"RN",0.433916745506149
240410,NA,NA,2584,"RN",NA
240430,428.12,223.67,13048,"RN",0.171420907418761
240440,670.99,371.63,10197,"RN",0.364450328527998
240450,679,464.62,14633,"RN",0.317515205357753
240460,511,0,13400,"RN",0
240470,1070,0,15147,"RN",0
240480,277,113.45,2221,"RN",0.510805943268798
240485,NA,NA,7457,"RN",NA
240490,494.87,178.11,5878,"RN",0.303011228308949
240500,1063,0,8827,"RN",0
240510,185.27,109.61,6898,"RN",0.15890113076254
240520,136.12,116.22,5419,"RN",0.214467613950913
240530,355.27,211.71,9879,"RN",0.214303067112056
240540,193.38,139.38,5366,"RN",0.259746552366754
240550,81.92,47.18,2669,"RN",0.176770325964781
240560,3391,31.06,14606,"RN",0.021265233465699
240570,3448,539.05,12553,"RN",0.42941926232773
240580,4976,0,34585,"RN",0
240590,NA,0,2691,"RN",0
240600,211.55,130.06,6049,"RN",0.215010745577781
240610,4303,614.15,18450,"RN",0.332872628726287
240620,273.81,153.5,6692,"RN",0.229378362223551
240630,1167,0,7478,"RN",0
240640,298.04,106.84,2765,"RN",0.386401446654611
240650,1758,521.52,15274,"RN",0.341442974990179
240660,233.47,213.43,8142,"RN",0.262134610660771
240670,1781,512.49,11151,"RN",0.459591068065644
240680,115.69,81.03,4803,"RN",0.168707058088695
240690,610,241.01,3933,"RN",0.612789219425375
240700,0,0,10129,"RN",0
240710,9767,0,78021,"RN",0
240720,6987,2180.83,31318,"RN",0.696350341656555
240725,NA,NA,3906,"RN",NA
240730,1858,295.99,8499,"RN",0.348264501706083
240740,1913,389.15,8706,"RN",0.446990581208362
240760,107.17,40.3,4530,"RN",0.088962472406181
240780,1013.51,605.83,22155,"RN",0.273450688332205
240790,116.71,56.24,2219,"RN",0.253447498873366
240800,48516,5062.95,288162,"RN",0.175698044849772
240830,8668,1354.58,37395,"RN",0.362235592993716
240840,204.46,112.48,4370,"RN",0.257391304347826
240850,1297,9.74,4871,"RN",0.0199958940669267
240860,542,116.15,4222,"RN",0.275106584557082
240870,1122,158.64,3891,"RN",0.407710100231303
240880,280.61,105.79,5173,"RN",0.204504156195631
240890,5700,1101.78,21483,"RN",0.512861332216171
240910,2744,30.31,12655,"RN",0.0239510075069143
240920,105.11,58.03,3075,"RN",0.188715447154472
240930,124.08,14.88,12706,"RN",0.0117110026759011
240933,179.88,126.28,5341,"RN",0.236435124508519
240940,8744,1518.65,29954,"RN",0.506994057554918
240950,345,0,3429,"RN",0
240960,62.98,62.39,2568,"RN",0.242951713395639
240970,293.13,175.08,7059,"RN",0.248023799405015
240990,1101.75,460.03,14751,"RN",0.311863602467629
241000,885,76.18,3761,"RN",0.20255251262962
241010,1199.19,410.22,15139,"RN",0.270969020410859
241020,1493,278,7811,"RN",0.355908334400205
241025,535,0,5884,"RN",0
241030,500.69,313.38,9814,"RN",0.319319339718769
241040,727.23,126.45,9331,"RN",0.135516021862609
241050,861,106.1,5040,"RN",0.210515873015873
241060,167.44,167.44,3213,"RN",0.521132897603486
241070,140.79,62.83,3485,"RN",0.180286944045911
241080,457,0,4278,"RN",0
241090,437.19,214.26,7863,"RN",0.272491415490271
241100,247.93,138.3,4547,"RN",0.304156586760501
241105,577.94,205.22,4019,"RN",0.510624533466036
241110,142.86,92.32,3678,"RN",0.251005981511691
241120,2720,1970,38924,"RN",0.50611447949851
241140,379.67,271.3,13605,"RN",0.199411980889379
241142,360,76.64,2675,"RN",0.286504672897196
241150,2616,0,23865,"RN",0
241160,242.44,81.88,2905,"RN",0.281858864027539
241170,788,0,4318,"RN",0
241180,944,131.89,3587,"RN",0.367688876498467
241190,1099,0,4173,"RN",0
241210,1479,458.8,6218,"RN",0.737857832100354
241230,655.82,310.46,12933,"RN",0.240052578674708
241240,109.9,87.33,4567,"RN",0.191219619005912
241250,NA,0,23274,"RN",0
241255,76.88,27.46,9427,"RN",0.0291290972737881
241260,895.62,536.95,17239,"RN",0.311473983409711
241270,347.41,147.45,6216,"RN",0.237210424710425
241280,616.17,194.46,8347,"RN",0.232969929315922
241290,574.72,275.71,11205,"RN",0.246059794734494
241300,192.15,187.12,6400,"RN",0.292375
241310,385.65,195.31,6087,"RN",0.320864136684738
241330,425.45,117.96,5883,"RN",0.20050994390617
241335,356.68,8.63,11507,"RN",0.0074997827409403
241340,6,340.1,8130,"RN",0.418327183271833
241350,815,0,6518,"RN",0
241355,145.74,113.42,4797,"RN",0.23643944131749
241360,718.67,186.1,3893,"RN",0.478037503210891
241370,135.02,97.17,5433,"RN",0.178851463279956
241380,429,59.03,2518,"RN",0.234432088959492
241390,691.21,283.04,12366,"RN",0.228885654213165
241400,927.37,523.78,15529,"RN",0.337291519093309
241410,1206,42.2,10646,"RN",0.0396393011459703
241415,408.99,206.95,5757,"RN",0.359475421226333
241430,108.6,58.01,2418,"RN",0.239909015715467
241440,230.91,75.33,33506,"RN",0.0224825404405181
241445,230.9,93.78,3366,"RN",0.278609625668449
241450,693.25,321.32,10835,"RN",0.296557452699585
241460,2663,0,14282,"RN",0
241470,1403,183.27,5512,"RN",0.332492743105951
241475,394,88.18,4121,"RN",0.213977190002427
241480,899.45,475.23,12016,"RN",0.395497669773635
241490,544,93.39,1714,"RN",0.544865810968495
250010,251.4,138.27,10083,"PB",0.137131806010116
250020,683,175.53,5573,"PB",0.314965009869011
250053,0,0,5451,"PB",0
250057,0,0,2475,"PB",0
250070,0,0,17929,"PB",0
250073,499,74.6,2212,"PB",0.337251356238698
250077,1201,307.02,8263,"PB",0.371559966114002
250090,3486,12.39,13355,"PB",0.00927742418569824
250100,3010,136.27,20051,"PB",0.0679616976709391
250115,272,1.62,1880,"PB",0.00861702127659575
250120,0,0,6900,"PB",0
250130,0,0,19204,"PB",0
250135,NA,NA,3830,"PB",NA
250150,76.67,51.41,21235,"PB",0.0242100306098422
250153,NA,NA,4758,"PB",NA
250157,45,96.96,8249,"PB",0.117541520184265
250160,411.34,283.95,15145,"PB",0.187487619676461
250170,0,0,5905,"PB",0
250200,1447,15.07,7320,"PB",0.0205874316939891
250205,0,0,3356,"PB",0
250210,593,0,5473,"PB",0
250215,1433,235.66,6884,"PB",0.342330040674027
250220,481,105.55,2532,"PB",0.416864139020537
250230,660,64.94,5007,"PB",0.129698422208908
250240,2617,29.09,11684,"PB",0.0248972954467648
250250,3451,18.57,17670,"PB",0.010509337860781
250260,824,431.99,6191,"PB",0.697770957842029
250280,574.46,388.72,13900,"PB",0.279654676258993
250290,205.45,154.37,6413,"PB",0.240714174333385
250310,166.65,83.27,5449,"PB",0.152817030647825
250330,1011,167.78,10114,"PB",0.165888866917145
250340,316,112.64,3713,"PB",0.303366549959601
250350,1882,151.26,17149,"PB",0.0882033937838941
250355,0,2.22,7112,"PB",0.0031214848143982
250360,204.89,99.77,7293,"PB",0.136802413273001
250370,18932,3125.42,61431,"PB",0.508769188194885
250375,313,79.07,3165,"PB",0.249826224328594
250390,1512,244.89,5971,"PB",0.410132306146374
250400,124677,22270.19,405072,"PB",0.549783495279851
250407,405,82.45,4115,"PB",0.200364520048603
250410,0,0,2601,"PB",0
250415,647,0,7394,"PB",0
250420,1002,7.43,4920,"PB",0.0151016260162602
250430,6137,1452.36,30179,"PB",0.481248550316445
250435,511,125.2,4779,"PB",0.261979493617912
250440,3875,36.9,18860,"PB",0.0195652173913043
250450,342.32,197.07,6733,"PB",0.29269270755978
250470,1080,285.11,4780,"PB",0.596464435146444
250480,NA,NA,15409,"PB",NA
250485,283,64.18,1892,"PB",0.339217758985201
250500,242.88,172.87,7193,"PB",0.240330877241763
250510,0,0,20325,"PB",0
